name	description	cloneof	year	players	ctrltype	manufacturer	category	orientation	ctrltype2	joyways	buttons
mercs	Mercs		1990	3	8 way	Capcom	arcade	vertical	joy	8	2
metamrph	Metamorphic Force		1993	4	8 way	Konami	arcade	horizontal	joy	8	3
metrocrs	Metro-Cross		1985	2	8 way	Namco	arcade	horizontal	joy	8	1
Metroid Prime	Metroid Prime		2002	1	8 way	Other	console	horizontal			
Metroid Prime 2	Metroid Prime 2		2004	1	8 way	Other	console	horizontal			
mhavoc	Major Havoc		1983	2	4 way	Atari	arcade	horizontal	dial+only_buttons		2
mia	Missing in Action		1989	2	8 way	Konami	arcade	horizontal	joy	8	3
midres	Midnight Resistance		1989	2	twin stick	Data East	arcade	horizontal	joy+positional	8	2
mikie	Mikie		1984	2	4 way	Konami	arcade	vertical	joy	4	2
milliped	Millipede		1982	2	trackball	Atari	arcade	vertical	joy+trackball	8	1
missile	Missile Command		1980	2	trackball	Atari	arcade	horizontal	trackball		3
mk	Mortal Kombat 1		1992	2	8 way	Midway	arcade	horizontal	joy	8	6
mk2	Mortal Kombat 2		1993	2	8 way	Midway	arcade	horizontal	joy	8	6
mk3	Mortal Kombat 3		1994	2	8 way	Midway	arcade	horizontal	joy	8	6
mk4	Mortal Kombat 5 4		1997	2	8 way	Konami	arcade	horizontal	joy	8	6
mmatrix	Mars Matrix: Hyper Solid Shooting		2000	2	8 way	Capcom	arcade	horizontal	joy	8	1
mmpork	Muchi Muchi Pork!		2007	2	8 way	Cave	arcade	vertical	joy	8	4
monsterb	Monster Bash		1982	2	4 way	SEGA	arcade	vertical	joy	4	1
moomesa	Wild West C.O.W.-Boys of Moo Mesa		1992	4	8 way	Konami	arcade	horizontal	joy	8	2
mooncrst	Moon Cresta		1980	2	4 way	Nichibutsu	arcade	vertical	joy	2	1
mpang	Mighty! Pang		2000	2	8 way	Mitchell (Capcom license)	arcade	horizontal	joy	8	1
mpatrol	Moon Patrol		1982	2	4 way	Irem	arcade	horizontal	joy	2	2
mplanets	Mad Planets		1983	1	analog	Gottlieb	arcade	vertical	joy+dial	8	2
mrdo	Mr. Do!		1982	2	4 way	Universal	arcade	vertical	joy	4	1
mrdrillr	Mr. Driller		1999	2	4 way	Namco	arcade	horizontal	joy	4	1
msh	Marvel Super Heroes		1995	2	8 way	Capcom	arcade	horizontal	joy	8	6
mshvsf	Marvel Super Heroes vs Street Fighter		1997	2	8 way	Capcom	arcade	horizontal	joy	8	6
mslug	Metal Slug 1: Super Vehicle-001		1996	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
mslug2t	Metal Slug 2 Turbo (NGM-9410)	mslug2	2015	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
mslug3	Metal Slug 3		2000	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
mslug4	Metal Slug 4		2002	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
mslug5	Metal Slug 5		2003	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
mslug6	Metal Slug 6		2006	2	8 way	Neo Geo	arcade	horizontal	joy	8	6
mslugx	Metal Slug 2 X: Super Vehicle-001		1999	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
mspacman	Ms. Pac-Man		1981	2	4 way	Midway	arcade	vertical	joy	4	
msword	Magic Sword: Heroic Fantasy		1990	2	8 way	Capcom	arcade	horizontal	joy	8	3
mtwins	Mega Twins		1990	2	8 way	Capcom	arcade	horizontal	joy	8	3
mushisam	Mushihime 1 -Sama		2004	2	8 way	Cave	arcade	vertical	joy	8	4
mustang	US AAF Mustang		1990	2	8 way	UPL	arcade	horizontal	joy	8	2
mutantf	Mutant Fighter		1991	2	8 way	Data East	arcade	horizontal	joy	8	2
mutnat	Mutation Nation		1992	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
mvsc	Marvel vs Capcom 1 : Clash of Super Heroes		1998	2	8 way	Capcom	arcade	horizontal	joy	8	6
mwalk	Michael Jackson's Moonwalker (World)		1990	3	8 way	SEGA	arcade	horizontal	joy	8	3
myhero	My Hero		1985	2	8 way	SEGA	arcade	horizontal	joy	8	2
mysticri	Mystic Riders		1992	2	8 way	Irem	arcade	horizontal	joy	8	2
mystwarr	Mystic Warriors		1993	4	8 way	Konami	arcade	horizontal	joy	8	3
nam1975	NAM-1975		1990	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
narc	Narc		1988	2	8 way	Williams	arcade	horizontal	joy	8	4
naughtyb	Naughty Boy		1982	2	4 way	Jaleco	arcade	vertical	joy	4	1
nbahangt	NBA 3 Hangtime		1996	4	8 way	Midway	arcade	horizontal	joy	8	3
nbajam	NBA 1		1993	4	8 way	Midway	arcade	horizontal	joy	8	3
nbajamte	NBA 2 TE		1994	4	8 way	Midway	arcade	horizontal	joy	8	3
nbamht	NBA 3 Hangtime	nbahangt	1996	4	8 way	Midway	arcade	horizontal	joy	8	3
nbbatman	Ninja Baseball Bat Man		1993	4	8 way	Irem	arcade	horizontal	joy	8	2
ncombat	Ninja Combat		1990	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
ncommand	Ninja Commando		1992	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
nebulray	Nebulas Ray		1994	4	8 way	Namco	arcade	vertical	joy	8	3
nemo	Nemo		1990	2	8 way	Capcom	arcade	horizontal	joy	8	3
neodrift	Neo Drift Out: New Technology		1996	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
nibbler	Nibbler		1982	2	4 way	Rock-Ola	arcade	vertical	joy	4	
nightstr	Night Striker		1989	1	analog	Taito	arcade	horizontal	joy+stick	8	2
Ninja Warriors	Ninja Warriors		1994	2	8 way	Nintendo	console	horizontal			
ninjak	Ninja Kids, The		1990	4	8 way	Taito	arcade	horizontal	joy	8	2
ninjakd2	Ninja-Kid 2		1987	2	8 way	UPL	arcade	horizontal	joy	8	2
ninjamas	Ninja Master's: Haoh-ninpo-cho		1996	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
ninjaw	Ninja Warriors		1987	2	8 way	Taito	arcade	horizontal	joy	8	2
nitd	Nightmare in the Dark		2000	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
nitrobal	Nitro Ball		1992	3	8 way	Data East	arcade	vertical	joy	8	2
nrallyx	Rally X 2		1981	2	4 way	Namco	arcade	horizontal	joy	4	1
nslashers	Night Slashers	nslasher	1994	3	8 way	Data East	arcade	horizontal	joy	8	3
nspirit	Ninja Spirit		1988	2	8 way	Irem	arcade	horizontal	joy	8	4
nwarr	Night Warriors: Darkstalkers' Revenge		1995	2	8 way	Capcom	arcade	horizontal	joy	8	6
nzeroteam	Zero Team	zeroteam	1997	2	8 way	Seibu Kaihatsu	arcade	horizontal	joy	8	3
offroadt	Off-Road Track-Pak		1989	3	analog	Leland Corporation	arcade	horizontal	dial+pedal		1
openice	Open Ice Challenge		1995	4	8 way	Midway	arcade	horizontal	joy	8	3
opwolf	Operation Wolf 1		1987	1	lightgun	Taito	arcade	horizontal	lightgun		2
opwolf3	Operation Wolf 3		1994	2	lightgun	Taito	arcade	horizontal	lightgun		2
ordyne	Ordyne		1988	2	8 way	Namco	arcade	horizontal	joy	8	3
orlegend	Oriental Legend		1997	4	8 way	IGS	arcade	horizontal	joy	8	4
orunners	Out Run 2 ners		1992	2	analog	SEGA	arcade	horizontal	paddle+pedal		5
oscar	Oscar		1987	2	8 way	Data East	arcade	horizontal	joy	8	3
osman	Osman		1996	2	8 way	Mitchell	arcade	horizontal	joy	8	3
othunder	Operation Wolf 2 : Operation Thunderbolt		1988	2	lightgun	Taito	arcade	horizontal	stick		2
outfxies	Out Foxies		1994	4	8 way	Namco	arcade	horizontal	joy	8	3
outrun	Out Run 1		1986	1	analog	SEGA	arcade	horizontal	paddle+pedal		1
OutRun 2006	Out Run 3 2006		2006	1	analog	SEGA	arcade	horizontal			
outzone	Out Zone		1990	2	8 way	Toaplan	arcade	vertical	joy	8	3
p47	P-47 1 : The Phantom Fighter		1988	2	8 way	Jaleco	arcade	horizontal	joy	8	2
p47aces	P-47 2 Aces		1995	2	8 way	Jaleco	arcade	horizontal	joy	8	5
pacland	Pac-Land		1984	2	4 way	Namco	arcade	horizontal	only_buttons		3
pacman	Pac-Man	puckman	1980	2	4 way	Midway	arcade	vertical	joy	4	
pacmania	Pac-Mania		1987	2	8 way	Namco	arcade	vertical	joy	8	3
pacnpal	Pac & Pal		1983	2	4 way	Namco	arcade	vertical	joy	4	1
pang	Pang		1989	2	4 way	Mitchell	arcade	horizontal	joy	4	2
paperboy	Paperboy		1984	1	analog	Atari	arcade	horizontal	stick		2
Paradroid	Paradroid		1985	1	8 way	Other	console	horizontal			
parodius	Parodius DA!		1990	2	8 way	Konami	arcade	horizontal	joy	8	3
pbobble	Puzzle Bobble 1		1994	4	8 way	Taito	arcade	horizontal	joy	8	3
pbobble2	Puzzle Bobble 2		1995	4	8 way	Taito	arcade	horizontal	joy+dial	8	4
pbobble3	Puzzle Bobble 3		1996	4	8 way	Taito	arcade	horizontal	joy+dial	8	4
pbobble4	Puzzle Bobble 4		1997	4	8 way	Taito	arcade	horizontal	joy+dial	8	4
pdrift	Power Drift		1988	1	analog	SEGA	arcade	horizontal	paddle+pedal		1
pengo	Pengo		1982	2	4 way	SEGA	arcade	vertical	joy	4	1
peterpak	Peter Pack Rat		1984	1	8 way	Atari	arcade	horizontal	joy	8	2
phelios	Phelios		1988	2	8 way	Namco	arcade	vertical	joy	8	3
phoenix	Phoenix		1980	2	4 way	Amstar	arcade	vertical	joy	2	2
Pilotwings	Pilotwings		1990	1	8 way	Nintendo	console	horizontal			
pinkswts	Pink Sweets: Ibara Sorekara		2006	2	8 way	Cave	arcade	vertical	joy	8	4
pirates	Pirates		1994	2	8 way	NIX	arcade	horizontal	joy	8	3
pitfall2	Pitfall 2		1985	2	8 way	SEGA	arcade	horizontal	joy	8	2
pitfight	Pit Fighter		1990	3	8 way	Atari	arcade	horizontal	joy	8	3
pleiads	Pleiads		1981	2	4 way	Tehkan	arcade	vertical	joy	2	1
Pocky Rocky I	Pocky Rocky I		1992	2	8 way	Nintendo	console	horizontal			
Pocky Rocky II	Pocky Rocky II		1994	2	8 way	Nintendo	console	horizontal			
polepos	Pole Position		1982	1	analog	Namco	arcade	horizontal	dial+pedal		1
polepos2	Pole Position 2		1983	1	analog	Namco	arcade	horizontal	dial+pedal		1
pooyan	Pooyan		1982	2	4 way	Konami	arcade	vertical	joy	vertical2	1
popeye	Popeye		1982	2	4 way	Nintendo	arcade	horizontal	joy	4	1
poundfor	Pound for Pound		1990	2	trackball	Irem	arcade	vertical	trackball		2
pow	P.O.W.: Prisoners of War		1988	2	8 way	SNK	arcade	horizontal	joy	8	3
prehisle	Prehistoric Isle 1 in 1930		1989	2	8 way	SNK	arcade	horizontal	joy	8	3
preisle2	Prehistoric Isle 2		1999	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
primrage	Primal Rage		1994	2	8 way	Atari	arcade	horizontal	joy	8	4
progear	Progear		2001	2	8 way	Capcom	arcade	horizontal	joy	8	3
psychic5	Psychic 5		1987	2	8 way	Jaleco / NMK	arcade	vertical	joy	8	2
psychos	Psycho Soldier		1987	2	8 way	SNK	arcade	horizontal	joy	8	2
ptblank	Point Blank		1994	2	lightgun	Namco	arcade	horizontal	lightgun		1
pulstar	Pulstar		1995	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
punchout	Punch-Out!!		1984	1	4 way	Nintendo	arcade	horizontal	joy	4	3
punisher	Punisher, The		1993	2	8 way	Capcom	arcade	horizontal	joy	8	2
puzzli2	Puzzli 2		1999	4	8 way	IGS (Metro license)	arcade	horizontal	joy	8	4
qbert	Q*bert		1982	2	8 way	Gottlieb	arcade	vertical	joy	4	
qix	Qix		1981	2	4 way	Taito	arcade	vertical	joy	4	2
quartet2	Quartet 2	quartet	1986	2	8 way	SEGA	arcade	horizontal	joy	8	3
R-Type III	R-Type III		1993	2	8 way	Nintendo	console	horizontal			
racedriv	Race Drivin'		1990	1	analog	Atari	arcade	horizontal	stick+paddle		
rackemup	Rack 'em Up		1987	2	8 way	Konami	arcade	vertical	joy	8	2
radarscp	Radar Scope		1980	2	4 way	Nintendo	arcade	vertical	joy	2	1
radm	Rad Mobile		1990	1	analog	SEGA	arcade	horizontal	paddle+pedal		2
raiden	Raiden 1		1990	2	8 way	Seibu Kaihatsu	arcade	vertical	joy	8	2
raidendx	Raiden 2 DX		1994	2	8 way	Seibu Kaihatsu	arcade	vertical	joy	8	3
rallybik	Rally Bike		1988	2	8 way	Toaplan	arcade	vertical	joy	8	2
rallyx	Rally X		1980	2	4 way	Namco	arcade	horizontal	joy	4	1
rambo3	Rambo 3		1989	2	8 way	Taito	arcade	horizontal	joy+trackball	8	2
rampage	Rampage 1		1986	3	8 way	Midway	arcade	horizontal	joy	8	2
rampart2p	Rampart	rampart	1990	3	8 way	Atari	arcade	horizontal	joy	8	2
raphero	Rapid Hero	arcadian	1994	2	8 way	NMK	arcade	vertical	joy	8	3
rastsaga	Rastan Saga	rastan	1987	2	8 way	Taito	arcade	horizontal	joy	8	2
raveracw	Rave Racer		1995	1	8 way	Namco	arcade	horizontal			
rbffspec	Real Bout Fatal Fury Special		1996	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
rbisland	Rainbow Islands		1987	2	4 way	Taito	arcade	horizontal	joy	2	2
rdft	Raiden Fighters 1		1996	2	8 way	Seibu Kaihatsu (Tuning license)	arcade	vertical	joy	8	3
rdft2	Raiden Fighters 2: Operation Hell Dive		1997	2	8 way	Seibu Kaihatsu (Tuning license)	arcade	vertical	joy	8	2
redearth	Red Earth		1996	2	8 way	Capcom	arcade	horizontal	joy	8	6
renegade	Renegade		1986	2	8 way	Technos	arcade	horizontal	joy	8	3
Revenge of Shinobi	Revenge of Shinobi		1989	1	8 way	SEGA	console	horizontal			
revx	Revolution X		1994	3	lightgun	Midway	arcade	horizontal	stick		2
rezon	Rezon		1992	2	8 way	Allumer	arcade	horizontal	joy	8	3
rfjet	Raiden Fighters 3 Jet		1998	2	8 way	Seibu Kaihatsu (Tuning license)	arcade	vertical	joy	8	2
ridgera2	Ridge Racer 2		1994	1	8 way	Namco	arcade	horizontal	joy+paddle	8	3
ridgerac	Ridge Racer 1		1993	1	8 way	Namco	arcade	horizontal	joy+paddle	8	3
ringdest	Ring of Destruction: Slammasters 2		1994	2	8 way	Capcom	arcade	horizontal	joy	8	6
riot	Riot		1992	2	8 way	Tecmo (NMK license)	arcade	horizontal	joy	8	3
riotcity	Riot City		1991	2	8 way	SEGA	arcade	horizontal	joy	8	3
rmpgwt	Rampage 2 : World Tour		1997	3	8 way	Midway	arcade	horizontal	joy	8	3
Road Rash (1994)(Electronic Arts)(Eu)[CDD4431]	Road Rash		1994	1	analog	Other	console	horizontal			
roadblst	Road Blasters		1987	1	analog	Atari	arcade	horizontal	stick+pedal		3
roadf	Road Fighter		1984	2	8 way	Konami	arcade	vertical	joy	8	2
roadrunn	Road Runner		1985	1	analog	Atari	arcade	horizontal	stick		2
roboarmy	Robo Army		1991	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
robocop	Robocop 1		1988	2	8 way	Data East	arcade	horizontal	joy	8	2
robocop2	Robocop 2		1991	2	8 way	Data East	arcade	horizontal	joy	8	3
robotron	Robotron: 2084		1982	1	twin stick	Williams	arcade	horizontal	doublejoy	8	
Rocket Knight Adventures	Rocket Knight Adventures		1993	1	8 way	SEGA	console	horizontal			
rocnrope	Roc'n Rope		1983	2	4 way	Konami	arcade	vertical	joy	4	2
rodland	Rod-Land		1990	2	8 way	Jaleco	arcade	horizontal	joy	8	2
rohga	Rohga Armor Force		1991	2	8 way	Data East	arcade	horizontal	joy	8	3
rotd	Rage of the Dragons		2002	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
rpunch	Rabbit Punch	rabiolep	1987	2	8 way	Midway	arcade	horizontal	joy	8	2
rsgun	Radiant Silvergun		1998	4	8 way	Treasure	arcade	horizontal	joy	8	4
rthun2	Rolling Thunder 2		1990	2	8 way	Namco	arcade	horizontal	joy	8	3
rthunder	Rolling Thunder 1		1986	2	4 way	Namco	arcade	horizontal	joy	4	2
rtype	R-Type 1		1987	2	8 way	Irem	arcade	horizontal	joy	8	4
rtype2	R-Type 2		1989	2	8 way	Irem	arcade	horizontal	joy	8	4
rtypeleo	R-Type 3 Leo		1992	2	8 way	Irem	arcade	horizontal	joy	8	2
rungun	Run & Gun 1		1993	4	8 way	Konami	arcade	horizontal	joy	8	3
rungun2	Run & Gun 2		1996	4	8 way	Konami	arcade	horizontal	joy	8	3
rvschool	Rival Schools: United By Fate		1997	2	8 way	Capcom	arcade	horizontal	joy	8	6
rygar	Rygar		1986	2	8 way	Tecmo	arcade	horizontal	joy	8	2
s1945	Strikers 1945 1		1995	2	8 way	Psikyo	arcade	vertical	joy	8	3
s1945ii	Strikers 1945 2		1997	2	8 way	Psikyo	arcade	vertical	joy	8	2
s1945iii	Strikers 1945 3		1999	2	8 way	Psikyo	arcade	vertical	joy	8	3
s1945p	Strikers 1945 Plus		1999	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
sailormn	Sailor Moon		1995	2	8 way	Gazelle (Banpresto license)	arcade	horizontal	joy	8	3
salamand	Salamander 1		1986	2	8 way	Konami	arcade	horizontal	joy	8	2
salmndr2	Salamander 2		1996	4	8 way	Konami	arcade	horizontal	joy	8	3
samsh5sp	Samurai Shodown V Special		2004	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
samsho	Samurai Shodown 1		1993	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
samsho2	Samurai Shodown 2		1994	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
samsho3	Samurai Shodown 3		1995	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
samsho4	Samurai Shodown 4: Amakusa's Revenge		1996	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
samsho5	Samurai Shodown 5		2003	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
savagere	Savage Reign		1995	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
sbagman	Super Bagman		1984	2	4 way	Valadon Automation	arcade	vertical	joy	4	2
sbomber	Space Bomber		1998	2	8 way	Psikyo	arcade	vertical	joy	8	2
sci	Special Criminal Investigation		1989	1	analog	Taito	arcade	horizontal	paddle		5
scobra	Super Cobra		1981	2	8 way	Konami	arcade	vertical	joy	8	2
scontra	Super Contra		1988	2	8 way	Konami	arcade	vertical	joy	8	2
scramble	Scramble		1981	2	8 way	Konami	arcade	vertical	joy	8	2
scross	Stadium Cross		1992	2	8 way	SEGA	arcade	horizontal	paddle+pedal		3
scudp	Scud Racer		1996	1	analog	SEGA	arcade	horizontal			
sdi	Strategic Defense Initiative		1987	2	trackball	SEGA	arcade	horizontal	joy+trackball	8	1
sdodgeb	Super Dodge Ball		1996	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
searchar	SAR: Search & Rescue		1989	2	8 way	SNK	arcade	vertical	joy+positional	8	2
sectionz	Section Z		1985	2	8 way	Capcom	arcade	horizontal	joy	8	2
seganinj	Sega Ninja		1985	2	8 way	SEGA	arcade	horizontal	joy	8	3
sengekis	Sengeki Striker		1997	2	8 way	Kaneko / Warashi	arcade	vertical	joy	8	3
sengoku	Sengoku 1 Denshou		1991	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
sengoku2	Sengoku 2 Denshou 2		1993	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
sengoku3	Sengoku 3		2001	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
sexyparo	Sexy Parodius		1996	4	8 way	Konami	arcade	horizontal	joy	8	3
sf	Street Fighter 1		1987	2	8 way	Capcom	arcade	horizontal	joy	8	6
sf2	Street Fighter 2 1st : The World Warrior		1991	2	8 way	Capcom	arcade	horizontal	joy	8	6
sf2ce	Street Fighter 2 2nd : Champion Edition		1992	2	8 way	Capcom	arcade	horizontal	joy	8	6
sf2hf	Street Fighter 2 3rd : Hyper Fighting		1992	2	8 way	Capcom	arcade	horizontal	joy	8	6
sfa	Street Fighter 2 Alpha 1: Warriors' Dreams		1995	2	8 way	Capcom	arcade	horizontal	joy	8	6
sfa2	Street Fighter 2 Alpha 2		1996	2	8 way	Capcom	arcade	horizontal	joy	8	6
sfa3	Street Fighter 2 Alpha 3		1998	2	8 way	Capcom	arcade	horizontal	joy	8	6
sfa3ud	Street Fighter 2 Alpha 3 Mix	sfa3	1998	2	8 way	Capcom	arcade	horizontal	joy	8	6
sfex	Street Fighter 5 EX1		1996	2	8 way	Capcom	arcade	horizontal	joy	8	6
sfex2	Street Fighter 5 EX2		1998	2	8 way	Capcom	arcade	horizontal	joy	8	6
sfiii2n	Street Fighter 3 III 2nd Impact: Giant Attack	sfiii2	1997	2	8 way	Capcom	arcade	horizontal	joy	8	6
sfiii3n	Street Fighter 3 III 3rd Strike: Fight for the Future	sfiii3	1999	2	8 way	Capcom	arcade	horizontal	joy	8	6
sfiiin	Street Fighter 3 III 1st: New Generation	sfiii	1997	2	8 way	Capcom	arcade	horizontal	joy	8	6
sfposeid	Poseidon		1984	2	8 way	Taito	arcade	horizontal	joy	8	2
sfrush	San Francisco Rush		1996	1	analog	Atari	arcade	horizontal	paddle+pedal		13
sftm	Street Fighter 4 The Movie		1995	2	8 way	Capcom	arcade	horizontal	joy	8	6
sgemf	Super Gem Fighter Mini Mix		1997	2	8 way	Capcom	arcade	horizontal	joy	8	3
sgunner	Steel Gunner		1990	2	lightgun	Namco	arcade	horizontal	lightgun		2
sgunner2	Steel Gunner 2		1991	2	lightgun	Namco	arcade	horizontal	lightgun		2
shadfrce	Shadow Force		1993	2	8 way	Technos	arcade	horizontal	joy	8	6
shadowld	Shadowland		1987	2	8 way	Namco	arcade	horizontal	joy	8	3
shangon	Super Hang-On (sitdown/upright)		1987	1	analog	SEGA	arcade	horizontal	paddle+pedal		1
sharrier	Space Harrier		1985	1	analog	SEGA	arcade	horizontal	stick		3
shdancer	Shadow Dancer		1989	2	8 way	SEGA	arcade	horizontal	joy	8	3
shienryu	Shienryu		1997	4	8 way	Warashi	arcade	vertical	joy	8	4
shinobi	Shinobi (set 6, System 16A)		1987	2	8 way	SEGA	arcade	horizontal	joy	8	3
Shinobi III	Shinobi III		1993	1	8 way	SEGA	console	horizontal			
