name	description	cloneof	year	players	ctrltype	manufacturer	category	orientation	ctrltype2	joyways	buttons
shocktr2	Shock Troopers 2 : 2nd Squad		1998	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
shocktro	Shock Troopers 1		1997	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
shollow	Satan's Hollow		1981	2	4 way	Midway	arcade	vertical	joy	2	2
sidearms	Side Arms: Hyper Dyne		1986	2	8 way	Capcom	arcade	horizontal	joy	8	3
sidepckt	Side Pocket		1986	2	8 way	Data East	arcade	horizontal	joy	8	2
silentd	Silent Dragon		1992	4	8 way	Taito	arcade	horizontal	joy	8	3
silkworm	Silk Worm		1988	2	8 way	Tecmo	arcade	horizontal	joy	8	3
simpsons	Simpsons, The		1991	4	8 way	Konami	arcade	horizontal	joy	8	2
simpsons2p	Simpsons, The	simpsons	1991	2	8 way	Konami	arcade	horizontal	joy	8	2
sinistar	Sinistar		1982	1	analog	Williams	arcade	vertical	stick		2
slammast	Saturday Night Slam Masters		1993	4	8 way	Capcom	arcade	horizontal	joy	8	3
slapfigh	Slap Fight	alcon	1986	2	8 way	Toaplan	arcade	vertical	joy	8	2
slipstrm	Slip Stream		1995	1	analog	Capcom	arcade	horizontal	paddle+pedal		1
slyspy	Sly Spy	secretag	1989	2	8 way	Data East	arcade	horizontal	joy	8	2
smashtv	Smash T.V.		1990	2	twin stick	Williams	arcade	horizontal	doublejoy	8	
smgp	Super Monaco GP (World, Rev B)		1989	1	analog	SEGA	arcade	horizontal	paddle+pedal		2
snowbro2	Snow Bros. 2: With New Elves		1994	4	8 way	Toaplan	arcade	horizontal	joy	8	2
snowbros	Snow Bros. 1: Nick & Tom		1990	2	8 way	Toaplan	arcade	horizontal	joy	8	3
socbrawl	Soccer Brawl		1991	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
sokyugrt	Terra Driver		1996	4	8 way	Raizing	arcade	horizontal	joy	8	4
soldivid	Sol Divide: The Sword Of Darkness		1997	2	8 way	Psikyo	arcade	horizontal	joy	8	3
solomon	Solomon's Key		1986	2	8 way	Tecmo	arcade	horizontal	joy	8	2
Sonic CD	Sonic CD		1993	1	8 way	SEGA	console	horizontal			
Sonic The Hedgehog I	Sonic The Hedgehog I		1991	1	8 way	SEGA	console	horizontal			
Sonic The Hedgehog II	Sonic The Hedgehog II		1992	2	8 way	SEGA	console	horizontal			
Sonic The Hedgehog III	Sonic The Hedgehog III		1994	2	8 way	SEGA	console	horizontal			
sonicwi2	Aero Fighters 2		1994	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
sonicwi3	Aero Fighters 3		1995	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
sonson	Son Son		1984	2	4 way	Capcom	arcade	horizontal	joy	4	1
Soul Calibur	Soul Calibur		1999	2	8 way	SEGA	console	horizontal			
Soul Calibur II	Soul Calibur II		2002	2	8 way	Other	console	horizontal			
soulclbr	Soul Calibur		1998	2	8 way	Namco	arcade	horizontal	joy	8	6
Space Ace	Space Ace		1983	1	4 way	Cinematronics	arcade	horizontal	joy	8	1
spacedx	Space Invaders 3 DX		1994	4	8 way	Taito	arcade	horizontal	joy	8	3
spacegun	Space Gun		1990	2	lightgun	Taito	arcade	horizontal	stick		3
spang	Super Pang		1990	2	4 way	Capcom	arcade	horizontal	joy	4	2
spcinv95	Space Invaders 4 95: The Attack Of Lunar Loonies		1995	4	8 way	Taito	arcade	vertical	joy+dial	8	4
spelunk2	Spelunker 2: 23 no Kagi		1986	2	8 way	Irem	arcade	horizontal	joy	8	2
spf2t	Super Puzzle Fighter II Turbo		1996	2	8 way	Capcom	arcade	horizontal	joy	8	2
spiders	Spiders		1981	2	4 way	Sigma Enterprises Inc.	arcade	vertical	joy	2	1
spidman	Spider-Man: The Videogame		1991	4	8 way	SEGA	arcade	horizontal	joy	8	2
spinlbrk	Spinal Breakers		1990	2	8 way	V-System Co.	arcade	horizontal	joy	8	3
spinmast	Spin Master		1993	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
splatter	Splatter House (World, new version		1988	2	8 way	Namco	arcade	horizontal	joy	8	3
spnchout	Super Punch-Out!!		1984	1	4 way	Nintendo	arcade	horizontal	joy	4	4
spy	S.P.Y.: Special Project Y		1989	2	8 way	Konami	arcade	horizontal	joy	8	2
spyhunt	Spy Hunter		1983	1	analog	Midway	arcade	vertical	paddle+pedal		5
sqix	Super Qix		1987	2	4 way	Taito	arcade	vertical	joy	4	2
srally2	Sega Rally 2		1998	1	analog	SEGA	arcade	horizontal	paddle+pedal		8
srallyc	Sega Rally 1 Championship - Twin/DX		1995	1	analog	SEGA	arcade	horizontal	paddle+pedal		6
srumbler	Speed Rumbler, The		1986	2	8 way	Capcom	arcade	vertical	joy	8	2
ssf2	Street Fighter 2 4th : Super Street Fighter 2 New Challengers		1993	2	8 way	Capcom	arcade	horizontal	joy	8	6
ssf2t	Street Fighter 2 5th : Super Street Fighter 2 Turbo		1994	2	8 way	Capcom	arcade	horizontal	joy	8	6
ssf2xj	Street Fighter 2 6th : Super Street Fighter 2 X: Grand Master Challenge	ssf2t	1994	2	8 way	Capcom	arcade	horizontal	joy	8	6
ssi	Super Space Invaders '91		1990	2	8 way	Taito	arcade	vertical	joy	8	2
ssideki3	Super Sidekicks 3: The Next Glory		1995	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
ssprint	Super Sprint		1986	3	analog	Atari	arcade	horizontal	dial+pedal		
ssriders	Sunset Riders		1991	4	8 way	Konami	arcade	horizontal	joy	8	2
ssridersabd	Sunset Riders	ssriders	1991	2	8 way	Konami	arcade	horizontal	joy	8	2
sstriker	Sorcer Striker		1993	2	8 way	Raizing	arcade	vertical	joy	8	3
Star Fox 64	Star Fox 64		1987	1	analog	Nintendo	console	horizontal			
Star Fox Assault	Star Fox Assault		2005	1	analog	Other	console	horizontal			
starblad	Starblade		1991	1	analog	Namco	arcade	horizontal	stick		4
starforc	Star Force		1984	2	8 way	Tehkan	arcade	vertical	joy	8	1
stargate	Stargate		1981	1	4 way	Williams	arcade	horizontal	joy	vertical2	6
starglad	Star Gladiator Episode I: Final Crusade		1996	2	8 way	Capcom	arcade	horizontal	joy	8	6
startrek	Star Trek		1982	1	analog	SEGA	arcade	horizontal	dial		4
starwars	Star Wars 1		1983	1	analog	Atari	arcade	horizontal	stick		4
stmblade	Storm Blade		1996	2	8 way	Visco	arcade	vertical	joy	8	3
Street Fighter Alpha 3 MAX	Street Fighter 2 Alpha 3 MAX		2006	2	8 way	Capcom	console	horizontal			
Streets Of Rage I	Streets Of Rage I		1991	2	8 way	SEGA	console	horizontal			
Streets Of Rage II	Streets Of Rage II		1992	2	8 way	SEGA	console	horizontal			
Streets Of Rage III	Streets of Rage III		1994	2	8 way	SEGA	console	horizontal			
streetsm	Street Smart		1989	2	8 way	SNK	arcade	horizontal	joy	8	3
strhoop	Street Hoop / Street Slam / Dunk Dream		1994	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
strider	Strider		1989	2	8 way	Capcom	arcade	horizontal	joy	8	3
strider2	Strider 2		1999	4	8 way	Capcom	arcade	horizontal	joy	8	3
strkfgtr	Strike Fighter		1991	1	analog	SEGA	arcade	horizontal	stick		3
strkforc	Strike Force		1991	2	8 way	Midway	arcade	horizontal	joy	8	3
stunrun	S.T.U.N. Runner		1989	1	analog	Atari	arcade	horizontal	stick		2
subroc3d	Subroc-3D		1982	1	8 way	SEGA	arcade	horizontal	joy	8	1
Super Castlevania IV	Super Castlevania IV		1991	1	8 way	Nintendo	console	horizontal			
Super Ghouls n Ghosts	Super Ghouls n Ghosts		1991	1	8 way	Nintendo	console	horizontal			
Super Mario 64	Super Mario 64		1996	1	analog	Nintendo	console	horizontal			
Super Mario All Stars	Super Mario All Stars		1993	1	8 way	Nintendo	console	horizontal			
Super Mario Kart	Super Mario Kart		1992	1	8 way	Nintendo	console	horizontal			
Super Mario Strikers	Super Mario Strikers		2005	2	analog	Nintendo	console	horizontal			
Super Mario Sunshine	Super Mario Sunshine		2002	1	analog	Nintendo	console	horizontal			
Super Mario World 1	Super Mario World 1		1990	1	8 way	Nintendo	console	horizontal			
Super Mario World 2	Super Mario World 2		1995	1	8 way	Nintendo	console	horizontal			
Super Metroid	Super Metroid		1994	1	8 way	Nintendo	console	horizontal			
Super Punch-Out!!	Super Punch-Out!!		1994	1	8 way	Nintendo	console	horizontal			
Super Star Wars	Super Star Wars		1992	1	8 way	Nintendo	console	horizontal			
Super Star Wars II	Super Star Wars II		1993	1	8 way	Nintendo	console	horizontal			
Super Star Wars III	Super Star Wars III		1994	1	8 way	Nintendo	console	horizontal			
superchs	Super Chase - Criminal Termination		1992	1	analog	Taito	arcade	horizontal	paddle+pedal		3
superman	Superman		1988	2	8 way	Taito	arcade	horizontal	joy	8	2
superpac	Super Pac-Man		1982	2	4 way	Namco	arcade	vertical	joy	4	1
superspy	Super Spy		1990	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
svc	SNK vs. Capcom: SVC Chaos		2003	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
svg	Spectral vs Generation		2005	4	8 way	IGS / Idea Factory	arcade	horizontal	joy	8	4
swatpolc	SWAT Police		2001	2	8 way	ESD	arcade	horizontal	joy	8	3
swimmer	Swimmer		1982	2	8 way	Tehkan	arcade	horizontal	joy	8	1
szaxxon	Super Zaxxon		1982	2	8 way	SEGA	arcade	vertical	joy	8	1
tacscan	Tac/Scan		1982	1	analog	SEGA	arcade	vertical	dial		2
tankfrce	Tank Force		1991	2	8 way	Namco	arcade	horizontal	joy	8	3
tapper	Tapper		1983	2	4 way	Midway	arcade	horizontal	joy	4	1
tattass	Tattoo Assassins		1994	2	8 way	Data East	arcade	horizontal	joy	8	6
tbowl	Tecmo Bowl		1987	4	8 way	Tecmo	arcade	horizontal	joy	8	2
teddybb	TeddyBoy Blues		1985	2	8 way	SEGA	arcade	horizontal	joy	8	2
tehkanwc	Tehkan World Cup		1985	2	8 way	Tehkan	arcade	horizontal	trackball		1
tekken	Tekken 1		1994	2	8 way	Namco	arcade	horizontal	joy	8	4
Tekken 5	Tekken 5		2004	2	8 way	Namco	arcade	horizontal			
tekken2	Tekken 2 Ver.B		1996	2	8 way	Namco	arcade	horizontal	joy	8	4
tekken3	Tekken 3		1996	2	8 way	Namco	arcade	horizontal	joy	8	4
tektagt	Tekken Tag Tournament		1999	2	8 way	Namco	arcade	horizontal	joy	8	6
tempest	Tempest		1980	2	analog	Atari	arcade	vertical	dial		2
tengai	Tengai		1996	2	8 way	Psikyo	arcade	horizontal	joy	8	3
term2	Terminator 2: Judgment Day		1991	2	lightgun	Midway	arcade	horizontal	stick		2
terracre	Terra Cresta		1985	2	8 way	Nichibutsu	arcade	vertical	joy	8	2
terraf	Terra Force		1987	2	8 way	Nichibutsu	arcade	horizontal	joy	8	3
tgm2p	Tetris The Absolute: The Grand Master 2 Plus	tgm2	2000	2	4 way	Arika	arcade	horizontal	joy	4	3
tharrier	Task Force Harrier		1989	2	8 way	UPL	arcade	vertical	joy	8	3
thedeep	The Deep		1987	2	8 way	Woodplace Inc.	arcade	vertical	joy	8	2
theglad	Gladiator, The		2003	4	8 way	IGS	arcade	horizontal	joy	8	4
thndrbld	Thunder Blade (upright)		1987	1	analog	SEGA	arcade	horizontal	stick		2
thunderj	ThunderJaws		1990	2	8 way	Atari	arcade	horizontal	joy	8	2
thundfox	Thunder Fox		1990	2	8 way	Taito	arcade	horizontal	joy	8	3
tigerh	Tiger-Heli		1985	2	8 way	Toaplan	arcade	vertical	joy	8	2
tigeroad	Tiger Road		1987	2	8 way	Capcom	arcade	horizontal	joy	8	2
timber	Timber		1984	2	4 way	Midway	arcade	horizontal	joy	4	2
timecris	Time Crisis		1996	1	lightgun	Namco	arcade	horizontal	lightgun		2
timekill	Time Killers		1992	2	8 way	Strata / Incredible Technologies	arcade	horizontal	joy	8	5
timeplt	Time Pilot 1		1982	2	8 way	Konami	arcade	vertical	joy	8	1
timesold	Time Soldiers		1987	2	twin stick	SNK	arcade	vertical	joy+positional	8	2
tmnt	Teenage Mutant Ninja Turtles 1		1989	4	8 way	Konami	arcade	horizontal	joy	8	2
tmnt2	Teenage Mutant Ninja Turtles 2 : Turtles in Time		1991	4	8 way	Konami	arcade	horizontal	joy	8	2
tmnt22pu	Teenage Mutant Ninja Turtles 2 : Turtles in Time	tmnt2	1991	2	8 way	Konami	arcade	horizontal	joy	8	2
tmnt2po	Teenage Mutant Ninja Turtles 1	tmnt	1989	2	8 way	Konami	arcade	horizontal	joy	8	2
tndrcade	Thundercade		1987	2	8 way	Taito	arcade	vertical	joy	8	2
tnk3	T.N.K 3		1985	2	twin stick	SNK	arcade	vertical	joy+positional	8	2
tnzs	New Zealand Story (World, new version), The		1988	2	8 way	Taito	arcade	horizontal	joy	8	2
tokib	Toki	toki	1990	2	8 way	bootleg (Datsu)	arcade	horizontal	joy	8	2
tokio	Tokio		1986	2	8 way	Taito	arcade	vertical	joy	8	2
toobin	Toobin'		1988	2	buttons only	Atari	arcade	vertical	only_buttons		5
tophuntr	Top Hunter: Roddy & Cathy		1994	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
totcarn	Total Carnage		1992	2	twin stick	Midway	arcade	horizontal	doublejoy	8	
toutrun3	Turbo Out Run (cockpit)	toutrun	1989	1	analog	SEGA	arcade	horizontal	paddle+pedal		2
tp84	Time Pilot 2 '84		1984	2	8 way	Konami	arcade	vertical	joy	8	2
trackfld	Track & Field		1983	4	buttons only	Konami	arcade	horizontal	only_buttons		3
trally	Thrash Rally		1991	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
travrusa	Zippy Race Traverse USA		1983	2	4 way	Irem	arcade	vertical	joy	2	2
troangel	Tropical Angel		1983	2	4 way	Irem	arcade	horizontal	joy	2	2
trog	Trog		1990	4	4 way	Midway	arcade	horizontal	joy	4	1
trojan	Trojan		1986	2	8 way	Capcom	arcade	horizontal	joy	8	2
tron	Tron		1982	2	8 way	Midway	arcade	vertical	joy+dial	8	1
truxton	Truxton 1		1988	2	8 way	Toaplan	arcade	vertical	joy	8	2
truxton2	Truxton 2		1992	2	8 way	Toaplan	arcade	vertical	joy	8	3
tshoot	Turkey Shoot		1984	1	lightgun	Williams	arcade	horizontal	stick		3
tumblep	Tumble Pop		1991	2	8 way	Data East	arcade	horizontal	joy	8	2
turbo	Turbo		1981	1	analog	SEGA	arcade	vertical	dial+pedal		1
turfmast	Neo Turf Masters		1996	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
tutankhm	Tutankham		1982	2	4 way	Konami	arcade	vertical	doublejoy	2	2
twincobr	Twin Cobra		1987	2	8 way	Toaplan	arcade	vertical	joy	8	2
twineag2	Twin Eagle 2: The Rescue Mission		1994	2	8 way	Seta	arcade	vertical	joy	8	3
twineagl	Twin Eagle 1: Revenge Joe's Brother		1988	2	8 way	Taito	arcade	vertical	joy	8	2
twocrude	Two Crude	cbuster	1990	2	8 way	Data East	arcade	horizontal	joy	8	3
uccops	Undercover Cops		1992	3	8 way	Irem	arcade	horizontal	joy	8	2
Ultimate Ghosts N Goblins	Ultimate Ghosts N Goblins		2006	1	8 way	Capcom	console	horizontal			
Ultra Street Fighter IV	Ultra Street Fighter 4 ZZ IV		2008	2	8 way	Capcom	arcade	horizontal			
ultrax	Ultra X Weapons		1995	2	8 way	Banpresto / Tsuburaya Productions / Seta	arcade	vertical	joy	8	3
umk3	Mortal Kombat 4 : Ultimate Mortal Kombat 3		1994	2	8 way	Midway	arcade	horizontal	joy	8	6
Under Defeat	Under Defeat		2005	2	analog	SEGA	console	horizontal			
unsquad	U.N. Squadron		1989	2	8 way	Capcom	arcade	horizontal	joy	8	3
upndown	Up'n Down		1983	2	8 way	SEGA	arcade	vertical	joy	8	1
Uridium	Uridium		1986	1	8 way	Other	console	horizontal			
vanguard	Vanguard		1981	2	8 way	SNK	arcade	vertical	joy	8	4
vaportrau	Vapor Trail: Hyper Offence Formation	vaportra	1989	2	8 way	Data East	arcade	vertical	joy	8	2
varth	Varth: Operation Thunderstorm		1992	2	8 way	Capcom	arcade	vertical	joy	8	3
vasara	Vasara 1		2000	2	8 way	Visco	arcade	vertical	joy	8	3
vasara2	Vasara 2		2001	2	8 way	Visco	arcade	vertical	joy	8	3
vendetta2pw	Vendetta	vendetta	1991	2	8 way	Konami	arcade	horizontal	joy	8	2
vf	Virtua Fighter		1993	2	8 way	SEGA	arcade	horizontal	joy	8	3
vf2	Virtua Fighter 2		1994	2	8 way	SEGA	arcade	horizontal	joy	8	3
victroad	Victory Road		1986	2	8 way	SNK	arcade	vertical	joy+positional	8	2
viewpoin	Viewpoint		1992	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
vigilanto	Vigilante	vigilant	1988	2	8 way	Irem	arcade	horizontal	joy	8	2
vimana	Vimana		1991	2	8 way	Toaplan	arcade	vertical	joy	8	2
vindictr	Vindicators		1988	2	8 way	Atari	arcade	horizontal	doublejoy	vertical2	4
viostorm	Violent Storm		1993	4	8 way	Konami	arcade	horizontal	joy	8	3
viprp1	Viper Phase 1		1995	2	8 way	Seibu Kaihatsu	arcade	vertical	joy	8	3
vr	Virtua Racing		1992	1	analog	SEGA	arcade	horizontal	paddle+pedal		6
vsav	Vampire Savior 1: The Lord of Vampire		1997	2	8 way	Capcom	arcade	horizontal	joy	8	6
vsav2	Vampire Savior 2: The Lord of Vampire		1997	2	8 way	Capcom	arcade	horizontal	joy	8	6
vulgus	Vulgus		1984	2	8 way	Capcom	arcade	vertical	joy	8	2
wakuwak7	Waku Waku 7		1996	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
wardner	Wardner		1987	2	8 way	Toaplan	arcade	horizontal	joy	8	2
warlords	Warlords		1980	4	analog	Atari	arcade	horizontal	paddle		1
warriorb	Warrior Blade - Rastan Saga Episode III		1991	2	8 way	Taito	arcade	horizontal	joy	8	3
waterski	Water Ski		1983	2	4 way	Taito	arcade	vertical	joy	2	2
Wave Race 64	Wave Race 64		1996	1	analog	Nintendo	console	horizontal			
Wave Race Blue Storm	Wave Race Blue Storm		2001	1	analog	Nintendo	console	horizontal			
Way of the Exploding Fists	Way of the Exploding Fists		1985	2	8 way	Other	console	horizontal			
wb3	Wonder Boy 3: Monster Lair (set 6, World, System 16B)		1988	2	8 way	SEGA	arcade	horizontal	joy	8	3
wbmlvcd	Wonder Boy 2 in Monster Land	wbml	2009	2	8 way	SEGA	arcade	horizontal	joy	8	2
wboy	Wonder Boy 1		1986	2	4 way	SEGA	arcade	horizontal	joy	2	2
wcbowldx	World Class Bowling Deluxe	wcbowl	1999	2	trackball	Incredible Technologies	arcade	horizontal	trackball		2
wecleman	WEC Le Mans 24		1986	1	analog	Konami	arcade	horizontal	paddle+pedal		2
wh1	World Heroes		1992	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
whp	World Heroes Perfect		1995	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
Wild Guns	Wild Guns		1994	2	8 way	Nintendo	console	horizontal			
wildfang	Wild Fang		1989	2	8 way	Tecmo	arcade	horizontal	joy	8	3
willow	Willow		1989	2	8 way	Capcom	arcade	horizontal	joy	8	3
WipEout Pulse	WipEout Pulse		2007	1	analog	Other	console	horizontal			
wizdfire	Wizard Fire		1992	2	8 way	Data East	arcade	horizontal	joy	8	2
wjammers	Windjammers		1994	2	8 way	Neo Geo	arcade	horizontal	joy	8	4
wof	Warriors of Fate		1992	3	8 way	Capcom	arcade	horizontal	joy	8	2
wow	Wizard of Wor		1980	2	8 way	Midway	arcade	horizontal	joy	8	2
wrally	World Rally 1		1993	2	8 way	Gaelco	arcade	horizontal	joy+dial	8	2
wrally2	World Rally 2: Twin Racing		1995	2	8 way	Gaelco	arcade	horizontal	joy+paddle	8	2
wwfmania	WWF: Wrestlemania		1995	2	8 way	Midway	arcade	horizontal	joy	8	5
wwfsstar	WWF Superstars		1989	2	8 way	Technos	arcade	horizontal	joy	8	2
wwfwfest	WWF WrestleFest		1991	4	8 way	Technos	arcade	horizontal	joy	8	2
Xenocrisis	Xenocrisis		1998	2	8 way	SEGA	console	horizontal			
xenophob	Xenophobe		1987	3	8 way	Midway	arcade	horizontal	joy	8	3
xevi3dg	Xevious 3D/G		1995	4	8 way	Namco	arcade	horizontal	joy	8	3
xevious	Xevious		1982	2	8 way	Namco	arcade	vertical	joy	8	2
xexexj	Xexex	xexex	1991	2	8 way	Konami	arcade	horizontal	joy	8	2
xmcota	X-Men Children of the Atom		1994	2	8 way	Capcom	arcade	horizontal	joy	8	6
xmenu	X-Men	xmen	1992	4	8 way	Konami	arcade	horizontal	joy	8	3
xmultipl	X Multiply		1989	2	8 way	Irem	arcade	horizontal	joy	8	4
xmvsf	X-Men Vs. Street Fighter		1996	2	8 way	Capcom	arcade	horizontal	joy	8	6
xsleena	Xain'd Sleena		1986	2	8 way	Technos	arcade	horizontal	joy	8	2
xybots	Xybots		1987	2	8 way	Atari	arcade	horizontal	joy	8	3
yiear	Yie Ar Kung-Fu		1985	2	8 way	Konami	arcade	horizontal	joy	8	3
zaxxon	Zaxxon		1982	2	8 way	SEGA	arcade	vertical	joy	8	1
Zero Gunner 2	Zero Gunner 2		2001	2	analog	SEGA	console	horizontal			
zerowing	Zero Wing		1989	2	8 way	Toaplan	arcade	horizontal	joy	8	2
Zombies Ate My Neighbors	Zombies Ate My Neighbors		1993	2	8 way	Nintendo	console	horizontal			
zombraid	Zombie Raid		1995	2	lightgun	American Sammy	arcade	horizontal	lightgun		2
zookeep	Zoo Keeper		1982	2	4 way	Taito	arcade	horizontal	joy	4	1
